a	I1
-1.283	7.6
-1.289	8.0
-1.294	8.4
-1.299	8.8
-1.305	9.2
-1.310	9.6
-1.315	10.4
-1.321	11.2
-1.326	12.0
-1.331	12.8
-1.337	14.0
-1.342	15.6
-1.347	17.2
-1.353	19.2
-1.358	21.2
-1.363	23.2
-1.369	27.6
-1.374	30.0
-1.379	33.2
-1.385	36.8
-1.390	40.4
-1.395	42.8
-1.401	42.8
-1.406	39.6
-1.411	34.8
-1.417	29.2
-1.422	24.4
-1.428	20.0
-1.433	16.4
-1.438	13.6
-1.444	12.0
-1.449	10.8
-1.454	9.6
-1.460	8.8
-1.465	8.4
-1.470	8.0
-1.476	7.6
-1.481	7.2
-1.486	6.8
-1.492	6.8
-1.497	6.8
-1.502	6.8
-1.508	6.8
-1.513	6.8
-1.518	6.8
-1.524	6.8
-1.529	7.2
-1.534	7.2
-1.540	7.2
-1.545	7.2
-1.550	7.6
-1.556	8.0
-1.561	8.4
-1.566	8.8
-1.572	9.6
-1.577	10.4
-1.582	11.6
-1.588	12.8
-1.593	14.0
-1.599	15.6
-1.604	17.6
-1.609	20.0
-1.615	22.8
-1.620	26.4
-1.625	30.0
-1.631	34.0
-1.636	38.0
-1.641	40.4
-1.647	41.2
-1.652	39.2
-1.657	34.8
-1.663	29.2
-1.668	23.2
-1.673	18.8
-1.679	15.2
-1.684	12.8
-1.689	11.2
-1.695	10.0
-1.700	9.2
-1.705	8.4
-1.711	7.6
-1.716	7.2
-1.721	6.8
-1.727	6.8
-1.732	6.8
-1.737	6.8
-1.743	6.4
-1.748	6.4
-1.753	6.4
-1.759	6.8
-1.764	7.2
-1.769	7.2
-1.775	7.6
-1.780	8.0
-1.786	8.4
-1.791	8.8
-1.796	9.6
-1.802	10.4
-1.807	11.6
-1.812	13.2
-1.818	14.8
-1.823	16.8
-1.828	19.6
-1.834	22.4
-1.839	26.4
-1.844	30.8
-1.850	34.8
-1.855	38.4
-1.860	39.6
-1.866	38.0
-1.871	33.6
-1.876	27.6
-1.882	22.0
-1.887	17.2
-1.892	14.0
-1.898	11.6
-1.903	10.0
-1.908	9.2
-1.914	8.4
-1.919	7.6
-1.924	7.2
-1.930	6.8
-1.935	6.8
-1.940	6.8
-1.946	6.4
-1.951	6.4
-1.956	6.4
-1.962	6.8
-1.967	6.8
-1.972	7.2
-1.978	7.6
-1.983	8.0
-1.989	8.8
-1.994	9.6
-1.999	10.4
-2.005	11.6
-2.010	13.2
-2.015	14.8
-2.021	17.2
-2.026	20.0
-2.031	23.6
-2.037	27.6
-2.042	32.0
-2.047	36.0
-2.053	40.4
-2.058	38.0
-2.063	32.8
-2.069	26.4
-2.074	20.8
-2.079	16.4
-2.085	13.2
-2.090	10.8
-2.095	9.2
-2.101	8.0
-2.106	7.2
-2.111	6.8
-2.117	6.4
-2.122	6.4
-2.127	6.4
-2.133	6.4
-2.138	6.4
-2.143	6.4
-2.149	6.4
-2.154	6.8
-2.159	7.2
-2.165	7.6
-2.170	8.0
-2.175	8.8
-2.181	10.0
-2.186	11.6
-2.191	13.2
-2.197	15.2
-2.202	18.0
-2.207	20.8
-2.213	25.2
-2.218	30.0
-2.223	34.4
-2.229	36.4
-2.234	35.2
-2.240	30.0
-2.245	24.0
-2.250	18.4
-2.256	14.4
-2.261	11.6
-2.266	9.6
-2.272	8.4
-2.277	7.6
-2.282	6.8
-2.288	6.4
-2.293	6.0
-2.298	6.0
-2.304	6.0
-2.309	6.0
-2.314	6.0
-2.320	6.4
-2.325	6.8
-2.330	7.2
-2.336	8.0
-2.341	8.8
-2.346	9.6
-2.352	10.8
-2.357	12.4
-2.362	14.4
-2.368	16.8
-2.373	20.4
-2.378	24.8
-2.384	30.0
-2.389	33.6
-2.394	36.4
-2.400	32.4
-2.405	26.0
-2.410	20.0
-2.416	15.2
-2.421	12.0
-2.426	10.0
-2.432	8.4
-2.437	7.2
-2.442	6.8
-2.448	6.4
-2.453	6.0
-2.458	6.0
-2.464	6.0
-2.469	6.0
-2.474	6.0
-2.480	6.4
-2.485	6.8
-2.490	7.2
-2.496	8.0
-2.501	8.8
-2.506	10.0
-2.512	11.6
-2.517	13.6
-2.522	16.0
-2.528	19.2
-2.533	23.2
-2.538	27.2
-2.544	30.4
-2.549	30.0
-2.554	26.0
-2.560	20.8
-2.565	16.0
-2.570	12.4
-2.576	10.0
-2.581	8.4
-2.586	7.2
-2.592	6.4
-2.597	6.0
-2.602	5.6
-2.608	5.6
-2.613	5.6
-2.619	5.6
-2.624	6.0
-2.629	6.4
-2.635	6.8
-2.640	7.6
-2.645	8.0
-2.651	9.2
-2.656	10.4
-2.661	12.0
-2.667	14.4
-2.672	17.6
-2.677	21.2
-2.683	25.2
-2.688	27.6
-2.693	27.2
-2.699	23.2
-2.704	18.4
-2.709	14.0
-2.715	11.2
-2.720	8.8
-2.725	7.6
-2.731	6.8
-2.736	5.6
-2.741	5.6
-2.747	5.6
-2.752	5.6
-2.757	5.6
-2.763	5.6
-2.768	5.6
-2.773	6.0
-2.779	6.8
-2.784	7.2
-2.789	8.0
-2.795	9.2
-2.800	10.8
-2.805	12.8
-2.811	16.0
-2.816	19.2
-2.821	22.0
-2.827	23.2
-2.832	21.2
-2.837	17.2
-2.843	13.6
-2.848	10.8
-2.853	8.8
-2.859	7.2
-2.864	6.4
-2.869	6.0
-2.875	5.6
-2.880	5.2
-2.885	5.2
-2.891	5.2
-2.896	5.6
-2.901	5.6
-2.907	5.6
-2.912	6.0
-2.917	6.4
-2.923	7.2
-2.928	8.4
-2.933	9.6
-2.939	11.6
-2.944	14.0
-2.949	16.8
-2.955	18.4
-2.960	18.0
-2.965	15.2
-2.971	12.0
-2.976	9.2
-2.981	7.6
-2.987	6.4
-2.992	5.6
-2.997	5.2
-3.003	4.8
-3.008	4.8
-3.013	4.8
-3.019	4.8
-3.024	4.8
-3.029	4.8
-3.035	5.2
-3.040	5.6
-3.045	6.0
-3.051	6.4
-3.056	7.6
-3.061	8.8
-3.067	10.4
-3.072	12.4
-3.077	15.2
-3.083	14.8
-3.088	12.8
-3.093	10.4
-3.099	8.4
-3.104	6.8
-3.109	5.6
-3.115	5.2
-3.120	4.8
-3.125	4.4
-3.131	4.4
-3.136	4.0
-3.141	4.0
-3.147	4.0
-3.152	4.0
-3.157	4.4
-3.163	4.4
-3.168	4.8
-3.173	5.6
-3.179	6.4
-3.184	7.6
-3.189	8.8
-3.195	10.0
-3.200	10.4
-3.205	9.6
-3.211	8.0
-3.216	6.8
-3.221	5.6
-3.227	5.2
-3.232	4.8
-3.237	4.4
-3.243	4.0
-3.248	4.0
-3.253	4.0
-3.259	4.0
-3.264	4.0
-3.269	4.0
-3.275	4.0
-3.280	4.0
-3.285	4.4
-3.291	4.8
-3.296	5.2
-3.301	6.0
-3.306	6.4
-3.312	6.8
-3.317	6.8
-3.322	6.4
-3.328	5.6
-3.333	5.2
-3.338	4.4
-3.344	4.0
-3.349	3.6
-3.354	3.6
-3.360	3.6
-3.365	3.6
-3.370	3.6
-3.376	3.6
-3.381	3.6
-3.386	3.6
-3.392	3.6
-3.397	3.6
-3.402	4.0
-3.408	4.0
-3.413	4.4
-3.418	4.8
-3.424	4.8
