a	I1
-3.019	13.7
-3.024	14.4
-3.029	15.6
-3.035	17.1
-3.040	18.4
-3.045	18.9
-3.051	18.8
-3.056	18.7
-3.061	19.1
-3.067	20.1
-3.072	21.0
-3.077	21.5
-3.083	20.0
-3.088	18.5
-3.093	17.5
-3.099	16.9
-3.104	16.3
-3.109	15.3
-3.115	14.1
-3.120	12.9
-3.125	12.1
-3.131	11.7
-3.136	11.6
-3.141	11.8
-3.147	12.2
-3.152	12.8
-3.157	13.6
-3.163	14.4
-3.168	14.8
-3.173	15.0
-3.179	15.0
-3.184	15.3
-3.189	15.7
-3.195	16.0
-3.200	15.6
-3.205	14.9
-3.211	14.1
-3.216	13.6
-3.221	13.2
-3.227	12.6
-3.232	11.8
-3.237	11.0
-3.243	10.5
-3.248	10.3
-3.253	10.1
-3.259	10.2
-3.264	10.4
-3.269	10.8
-3.275	11.2
-3.280	11.6
-3.285	11.7
-3.291	11.7
-3.296	11.7
-3.301	11.8
-3.306	11.9
-3.312	11.7
-3.317	11.4
-3.322	11.1
-3.328	10.9
-3.333	10.8
-3.338	10.4
-3.344	10.0
-3.349	9.5
-3.354	9.2
-3.360	9.0
-3.365	9.0
-3.370	8.9
-3.376	8.9
-3.381	9.1
-3.386	9.3
-3.392	9.3
-3.397	9.3
-3.402	9.3
-3.408	9.3
-3.413	9.3
-3.418	9.3
-3.424	9.1
