a	I
-1.278	23.3
-1.281	23.3
-1.283	23.3
-1.286	23.3
-1.289	23.3
-1.291	23.3
-1.294	23.3
-1.297	23.3
-1.299	23.3
-1.302	23.3
-1.305	23.3
-1.307	23.3
-1.310	23.3
-1.313	23.3
-1.315	23.3
-1.318	23.3
-1.321	23.3
-1.323	23.3
-1.326	23.3
-1.329	23.3
-1.331	23.3
-1.334	23.3
-1.337	23.2
-1.339	23.2
-1.342	23.2
-1.345	23.2
-1.347	23.2
-1.350	23.2
-1.353	23.2
-1.355	23.2
-1.358	23.2
-1.361	23.2
-1.363	23.2
-1.366	23.2
-1.369	23.2
-1.371	23.2
-1.374	23.2
-1.377	23.2
-1.379	23.2
-1.382	23.2
-1.385	23.2
-1.387	23.2
-1.390	23.2
-1.393	23.2
-1.395	23.2
-1.398	23.2
-1.401	23.2
-1.403	23.2
-1.406	23.2
-1.409	23.2
-1.411	23.2
-1.414	23.2
-1.417	23.2
-1.419	23.2
-1.422	23.2
-1.425	23.2
-1.428	23.2
-1.430	23.2
-1.433	23.2
-1.436	23.2
-1.438	23.2
-1.441	23.2
-1.444	23.2
-1.446	23.2
-1.449	23.2
-1.452	23.2
-1.454	23.2
-1.457	23.2
-1.460	23.2
-1.462	23.2
-1.465	23.2
-1.468	23.2
-1.470	23.3
-1.473	23.3
-1.476	23.3
-1.478	23.3
-1.481	23.3
-1.484	23.3
-1.486	23.3
-1.489	23.3
-1.492	23.3
-1.494	23.3
-1.497	23.3
-1.500	23.3
-1.502	23.3
-1.505	23.3
-1.508	23.3
-1.510	23.3
-1.513	23.3
-1.516	23.3
-1.518	23.3
-1.521	23.3
-1.524	23.3
-1.526	23.3
-1.529	23.3
-1.532	23.3
-1.534	23.3
-1.537	23.3
-1.540	23.3
-1.542	23.3
-1.545	23.3
-1.548	23.3
-1.550	23.3
-1.553	23.3
-1.556	23.3
-1.558	23.3
-1.561	23.3
-1.564	23.3
-1.566	23.3
-1.569	23.3
-1.572	23.3
-1.574	23.3
-1.577	23.3
-1.580	23.3
-1.582	23.3
-1.585	23.3
-1.588	23.3
-1.591	23.3
-1.593	23.3
-1.596	23.3
-1.599	23.3
-1.601	23.3
-1.604	23.3
-1.607	23.3
-1.609	23.3
-1.612	23.3
-1.615	23.3
-1.617	23.3
-1.620	23.3
-1.623	23.3
-1.625	23.3
-1.628	23.3
-1.631	23.3
-1.633	23.2
-1.636	23.2
-1.639	23.2
-1.641	23.2
-1.644	23.2
-1.647	23.2
-1.649	23.2
-1.652	23.2
-1.655	23.2
-1.657	23.2
-1.660	23.2
-1.663	23.2
-1.665	23.2
-1.668	23.2
-1.671	23.2
-1.673	23.2
-1.676	23.2
-1.679	23.2
-1.681	23.2
-1.684	23.2
-1.687	23.2
-1.689	23.2
-1.692	23.2
-1.695	23.2
-1.697	23.2
-1.700	23.2
-1.703	23.2
-1.705	23.2
-1.708	23.3
-1.711	23.2
-1.713	23.2
-1.716	23.2
